Kin,100,Cutlery,0.75,0.1,"[21.21, 45.45, 34.38, 27.27, 33.33, 43.75, 36.36, 39.39, 28.12]",34.36
Kin,100,Cutlery,0.75,0.25,"[30.3, 42.42, 37.5, 42.42, 42.42, 43.75, 39.39, 48.48, 31.25]",39.77
Kin,100,Cutlery,0.75,0.5,"[24.24, 42.42, 37.5, 45.45, 36.36, 46.88, 39.39, 42.42, 37.5]",39.13
Kin,100,Cutlery,0.75,0.75,"[27.27, 45.45, 40.62, 48.48, 39.39, 46.88, 42.42, 48.48, 37.5]",41.83
Kin,100,Cutlery,0.75,1,"[27.27, 45.45, 43.75, 48.48, 42.42, 46.88, 42.42, 45.45, 37.5]",42.18
Kin,100,Cutlery,0.75,1.25,"[30.3, 45.45, 46.88, 48.48, 42.42, 37.5, 42.42, 45.45, 37.5]",41.82
Kin,100,Cutlery,0.75,1.5,"[33.33, 45.45, 50.0, 45.45, 42.42, 37.5, 39.39, 45.45, 34.38]",41.49
Kin,100,Cutlery,1,0.01,"[33.33, 33.33, 34.38, 33.33, 33.33, 34.38, 33.33, 33.33, 34.38]",33.68
Kin,100,Cutlery,1,0.1,"[27.27, 45.45, 37.5, 27.27, 33.33, 34.38, 30.3, 42.42, 25.0]",33.66
Kin,100,Cutlery,1,0.25,"[21.21, 33.33, 31.25, 33.33, 39.39, 43.75, 42.42, 42.42, 37.5]",36.07
Kin,100,Cutlery,1,0.5,"[27.27, 45.45, 37.5, 42.42, 33.33, 46.88, 36.36, 48.48, 37.5]",39.47
Kin,100,Cutlery,1,0.75,"[30.3, 45.45, 40.62, 45.45, 36.36, 43.75, 42.42, 42.42, 37.5]",40.47
Kin,100,Cutlery,1,1,"[27.27, 45.45, 40.62, 48.48, 39.39, 46.88, 45.45, 45.45, 37.5]",41.83
Kin,100,Cutlery,1,1.25,"[27.27, 48.48, 43.75, 48.48, 39.39, 46.88, 45.45, 45.45, 37.5]",42.52
Kin,100,Cutlery,1,1.5,"[27.27, 48.48, 40.62, 48.48, 39.39, 50.0, 45.45, 45.45, 37.5]",42.52
Kin,100,Geometric,0,0.01,"[51.52, 34.38, 56.25, 60.61, 45.45, 45.16, 50.0, 42.42, 50.0]",48.42
Kin,100,Geometric,0,0.1,"[51.52, 34.38, 59.38, 60.61, 51.52, 45.16, 53.12, 42.42, 53.12]",50.14
Kin,100,Geometric,0,0.25,"[48.48, 37.5, 59.38, 60.61, 51.52, 48.39, 56.25, 48.48, 53.12]",51.53
Kin,100,Geometric,0,0.5,"[48.48, 37.5, 59.38, 57.58, 51.52, 45.16, 56.25, 48.48, 53.12]",50.83
Kin,100,Geometric,0,0.75,"[48.48, 37.5, 59.38, 54.55, 51.52, 41.94, 56.25, 48.48, 53.12]",50.14
Kin,100,Geometric,0,1,"[48.48, 37.5, 59.38, 54.55, 51.52, 41.94, 56.25, 48.48, 53.12]",50.14
Kin,100,Geometric,0,1.25,"[48.48, 37.5, 59.38, 57.58, 54.55, 41.94, 56.25, 48.48, 53.12]",50.81
Kin,100,Geometric,0,1.5,"[48.48, 37.5, 59.38, 57.58, 54.55, 41.94, 56.25, 48.48, 53.12]",50.81
Kin,100,Geometric,0.25,0.01,"[33.33, 31.25, 31.25, 33.33, 33.33, 35.48, 34.38, 33.33, 34.38]",33.34
Kin,100,Geometric,0.25,0.1,"[51.52, 40.62, 65.62, 63.64, 45.45, 41.94, 62.5, 54.55, 50.0]",52.87
Kin,100,Geometric,0.25,0.25,"[60.61, 40.62, 59.38, 66.67, 48.48, 45.16, 56.25, 54.55, 53.12]",53.87
